┌──(soros🏹WorkStation)-[~/homeworks/IDD - homework1]
└─$  /usr/bin/env /usr/lib/jvm/java-11-openjdk-amd64/bin/java -agentlib:jdwp=transport=dt_socket,server=n,suspend=y,address=localhost:39505 -Dfile.encoding=UTF-8 @/tmp/cp_6oob5xvcspsj6vhkveyycfbci.argfile utility.Stats 

===== Distribuzione valori distinti =====
8 colonne hanno 298 valori distinti.
14 colonne hanno 299 valori distinti.
21 colonne hanno 300 valori distinti.
11 colonne hanno 301 valori distinti.
12 colonne hanno 302 valori distinti.
9 colonne hanno 303 valori distinti.
1 colonne hanno 304 valori distinti.
12 colonne hanno 305 valori distinti.
12 colonne hanno 306 valori distinti.
15 colonne hanno 307 valori distinti.
7 colonne hanno 308 valori distinti.
13 colonne hanno 309 valori distinti.
5 colonne hanno 310 valori distinti.
5 colonne hanno 311 valori distinti.
10 colonne hanno 312 valori distinti.
10 colonne hanno 313 valori distinti.
9 colonne hanno 314 valori distinti.
12 colonne hanno 315 valori distinti.
6 colonne hanno 316 valori distinti.
8 colonne hanno 317 valori distinti.
4 colonne hanno 318 valori distinti.
7 colonne hanno 319 valori distinti.
5 colonne hanno 320 valori distinti.
9 colonne hanno 321 valori distinti.
11 colonne hanno 322 valori distinti.
9 colonne hanno 323 valori distinti.
4 colonne hanno 324 valori distinti.
8 colonne hanno 325 valori distinti.
9 colonne hanno 326 valori distinti.
6 colonne hanno 327 valori distinti.
5 colonne hanno 328 valori distinti.
6 colonne hanno 329 valori distinti.
10 colonne hanno 330 valori distinti.
4 colonne hanno 331 valori distinti.
8 colonne hanno 332 valori distinti.
6 colonne hanno 333 valori distinti.
4 colonne hanno 334 valori distinti.
6 colonne hanno 335 valori distinti.
7 colonne hanno 336 valori distinti.
4 colonne hanno 337 valori distinti.
5 colonne hanno 338 valori distinti.
3 colonne hanno 339 valori distinti.
11 colonne hanno 340 valori distinti.
6 colonne hanno 341 valori distinti.
8 colonne hanno 342 valori distinti.
8 colonne hanno 343 valori distinti.
3 colonne hanno 344 valori distinti.
11 colonne hanno 345 valori distinti.
12 colonne hanno 346 valori distinti.
9 colonne hanno 347 valori distinti.
5 colonne hanno 348 valori distinti.
13 colonne hanno 349 valori distinti.
3 colonne hanno 350 valori distinti.
11 colonne hanno 351 valori distinti.
8 colonne hanno 352 valori distinti.
13 colonne hanno 353 valori distinti.
9 colonne hanno 354 valori distinti.
8 colonne hanno 355 valori distinti.
10 colonne hanno 356 valori distinti.
6 colonne hanno 357 valori distinti.
2 colonne hanno 358 valori distinti.
5 colonne hanno 359 valori distinti.
7 colonne hanno 360 valori distinti.
22 colonne hanno 361 valori distinti.
13 colonne hanno 362 valori distinti.
8 colonne hanno 363 valori distinti.
7 colonne hanno 364 valori distinti.
5 colonne hanno 365 valori distinti.
7 colonne hanno 366 valori distinti.
4 colonne hanno 367 valori distinti.
2 colonne hanno 368 valori distinti.
3 colonne hanno 369 valori distinti.
7 colonne hanno 370 valori distinti.
3 colonne hanno 371 valori distinti.
4 colonne hanno 372 valori distinti.
6 colonne hanno 373 valori distinti.
7 colonne hanno 374 valori distinti.
4 colonne hanno 375 valori distinti.
5 colonne hanno 376 valori distinti.
5 colonne hanno 377 valori distinti.
3 colonne hanno 378 valori distinti.
5 colonne hanno 379 valori distinti.
4 colonne hanno 380 valori distinti.
3 colonne hanno 381 valori distinti.
2 colonne hanno 382 valori distinti.
8 colonne hanno 383 valori distinti.
6 colonne hanno 384 valori distinti.
5 colonne hanno 385 valori distinti.
5 colonne hanno 386 valori distinti.
2 colonne hanno 387 valori distinti.
7 colonne hanno 388 valori distinti.
6 colonne hanno 389 valori distinti.
7 colonne hanno 390 valori distinti.
3 colonne hanno 391 valori distinti.
3 colonne hanno 392 valori distinti.
6 colonne hanno 393 valori distinti.
5 colonne hanno 394 valori distinti.
4 colonne hanno 395 valori distinti.
5 colonne hanno 396 valori distinti.
6 colonne hanno 397 valori distinti.
4 colonne hanno 398 valori distinti.
4 colonne hanno 399 valori distinti.
7 colonne hanno 400 valori distinti.
10 colonne hanno 401 valori distinti.
4 colonne hanno 402 valori distinti.
4 colonne hanno 403 valori distinti.
6 colonne hanno 404 valori distinti.
4 colonne hanno 405 valori distinti.
4 colonne hanno 406 valori distinti.
5 colonne hanno 407 valori distinti.
2 colonne hanno 408 valori distinti.
4 colonne hanno 409 valori distinti.
6 colonne hanno 410 valori distinti.
10 colonne hanno 411 valori distinti.
25 colonne hanno 412 valori distinti.
10 colonne hanno 413 valori distinti.
5 colonne hanno 414 valori distinti.
4 colonne hanno 415 valori distinti.
5 colonne hanno 416 valori distinti.
2 colonne hanno 417 valori distinti.
3 colonne hanno 418 valori distinti.
12 colonne hanno 419 valori distinti.
4 colonne hanno 420 valori distinti.
7 colonne hanno 421 valori distinti.
3 colonne hanno 422 valori distinti.
6 colonne hanno 423 valori distinti.
3 colonne hanno 424 valori distinti.
5 colonne hanno 425 valori distinti.
4 colonne hanno 426 valori distinti.
9 colonne hanno 427 valori distinti.
7 colonne hanno 428 valori distinti.
5 colonne hanno 429 valori distinti.
4 colonne hanno 430 valori distinti.
10 colonne hanno 431 valori distinti.
10 colonne hanno 432 valori distinti.
14 colonne hanno 433 valori distinti.
15 colonne hanno 434 valori distinti.
26 colonne hanno 435 valori distinti.
12 colonne hanno 436 valori distinti.
1 colonne hanno 437 valori distinti.
8 colonne hanno 439 valori distinti.
7 colonne hanno 440 valori distinti.
8 colonne hanno 441 valori distinti.
5 colonne hanno 442 valori distinti.
10 colonne hanno 443 valori distinti.
12 colonne hanno 444 valori distinti.
6 colonne hanno 445 valori distinti.
5 colonne hanno 446 valori distinti.
6 colonne hanno 447 valori distinti.
5 colonne hanno 448 valori distinti.
5 colonne hanno 449 valori distinti.
6 colonne hanno 450 valori distinti.
5 colonne hanno 451 valori distinti.
3 colonne hanno 452 valori distinti.
8 colonne hanno 453 valori distinti.
3 colonne hanno 454 valori distinti.
5 colonne hanno 455 valori distinti.
3 colonne hanno 456 valori distinti.
2 colonne hanno 457 valori distinti.
3 colonne hanno 458 valori distinti.
7 colonne hanno 459 valori distinti.
2 colonne hanno 460 valori distinti.
1 colonne hanno 2508 valori distinti.
4 colonne hanno 461 valori distinti.
4 colonne hanno 462 valori distinti.
2 colonne hanno 463 valori distinti.
2 colonne hanno 464 valori distinti.
7 colonne hanno 465 valori distinti.
4 colonne hanno 466 valori distinti.
4 colonne hanno 467 valori distinti.
2 colonne hanno 468 valori distinti.
5 colonne hanno 470 valori distinti.
1 colonne hanno 471 valori distinti.
1 colonne hanno 472 valori distinti.
4 colonne hanno 473 valori distinti.
2 colonne hanno 474 valori distinti.
2 colonne hanno 475 valori distinti.
1 colonne hanno 477 valori distinti.
1 colonne hanno 478 valori distinti.
4 colonne hanno 479 valori distinti.
2 colonne hanno 481 valori distinti.
2 colonne hanno 482 valori distinti.
3 colonne hanno 483 valori distinti.
1 colonne hanno 484 valori distinti.
4 colonne hanno 485 valori distinti.
3 colonne hanno 486 valori distinti.
2 colonne hanno 487 valori distinti.
2 colonne hanno 488 valori distinti.
2 colonne hanno 489 valori distinti.
5 colonne hanno 490 valori distinti.
1 colonne hanno 491 valori distinti.
2 colonne hanno 493 valori distinti.
2 colonne hanno 494 valori distinti.
3 colonne hanno 495 valori distinti.
1 colonne hanno 496 valori distinti.
4 colonne hanno 497 valori distinti.
3 colonne hanno 498 valori distinti.
4 colonne hanno 500 valori distinti.
7 colonne hanno 501 valori distinti.
6 colonne hanno 502 valori distinti.
2 colonne hanno 503 valori distinti.
2 colonne hanno 504 valori distinti.
3 colonne hanno 505 valori distinti.
3 colonne hanno 506 valori distinti.
4 colonne hanno 507 valori distinti.
1 colonne hanno 508 valori distinti.
5 colonne hanno 509 valori distinti.
3 colonne hanno 510 valori distinti.
2 colonne hanno 511 valori distinti.
3 colonne hanno 512 valori distinti.
1 colonne hanno 513 valori distinti.
4 colonne hanno 514 valori distinti.
1 colonne hanno 515 valori distinti.
2 colonne hanno 517 valori distinti.
3 colonne hanno 518 valori distinti.
2 colonne hanno 519 valori distinti.
4 colonne hanno 520 valori distinti.
2 colonne hanno 522 valori distinti.
3 colonne hanno 523 valori distinti.
2 colonne hanno 526 valori distinti.
5 colonne hanno 527 valori distinti.
2 colonne hanno 529 valori distinti.
1 colonne hanno 2577 valori distinti.
2 colonne hanno 530 valori distinti.
2 colonne hanno 531 valori distinti.
3 colonne hanno 533 valori distinti.
1 colonne hanno 534 valori distinti.
1 colonne hanno 2582 valori distinti.
4 colonne hanno 535 valori distinti.
3 colonne hanno 536 valori distinti.
1 colonne hanno 537 valori distinti.
1 colonne hanno 538 valori distinti.
4 colonne hanno 539 valori distinti.
1 colonne hanno 540 valori distinti.
3 colonne hanno 541 valori distinti.
1 colonne hanno 542 valori distinti.
2 colonne hanno 543 valori distinti.
2 colonne hanno 544 valori distinti.
3 colonne hanno 545 valori distinti.
1 colonne hanno 547 valori distinti.
1 colonne hanno 548 valori distinti.
1 colonne hanno 549 valori distinti.
2 colonne hanno 550 valori distinti.
3 colonne hanno 552 valori distinti.
1 colonne hanno 553 valori distinti.
1 colonne hanno 554 valori distinti.
3 colonne hanno 556 valori distinti.
1 colonne hanno 557 valori distinti.
2 colonne hanno 558 valori distinti.
2 colonne hanno 559 valori distinti.
3 colonne hanno 560 valori distinti.
2 colonne hanno 562 valori distinti.
3 colonne hanno 563 valori distinti.
2 colonne hanno 565 valori distinti.
1 colonne hanno 567 valori distinti.
2 colonne hanno 568 valori distinti.
1 colonne hanno 569 valori distinti.
2 colonne hanno 570 valori distinti.
3 colonne hanno 571 valori distinti.
